"time","anomalies.detector_id","anomalies.diff"
"2015-09-14T15:30:01.000Z","2","4"
"2015-09-14T16:18:01.000Z","2","4"
"2015-09-14T16:19:31.000Z","2","-4"
"2015-09-15T15:01:31.000Z","3","-5"
"2015-09-15T15:07:31.000Z","2","-4"
"2015-09-15T15:24:01.000Z","2","4"
"2015-09-15T15:25:31.000Z","3","-5"
"2015-09-15T15:28:31.000Z","2","4"
"2015-09-15T15:36:01.000Z","2","-5"
"2015-09-15T16:06:01.000Z","3","5"
"2015-09-15T16:07:31.000Z","3","-5"
"2015-09-15T16:12:01.000Z","3","-5"
"2015-09-15T16:15:01.000Z","3","5"
"2015-09-16T11:30:01.000Z","83","11"
"2015-09-16T11:43:31.000Z","2","5"
"2015-09-16T12:36:01.000Z","3","5"
"2015-09-16T12:37:31.000Z","3","-5"
"2015-09-16T13:51:01.000Z","83","10"
"2015-09-16T13:58:31.000Z","77","9"
"2015-09-16T14:49:31.000Z","33","-13"
"2015-09-16T15:00:01.000Z","3","5"
"2015-09-16T15:06:01.000Z","3","-5"
"2015-09-16T15:07:31.000Z","2","5"
"2015-09-16T15:12:01.000Z","3","-5"
"2015-09-16T16:10:31.000Z","3","5"
"2015-09-16T16:12:01.000Z","3","-5"
"2015-09-17T09:46:31.000Z","3","-5"
"2015-09-17T10:09:01.000Z","43","16"
"2015-09-17T13:22:31.000Z","33","12"
"2015-09-17T15:15:01.000Z","2","4"
"2015-09-17T15:33:01.000Z","3","5"
"2015-09-17T16:00:01.000Z","3","5"
"2015-09-17T16:03:01.000Z","33","15"
"2015-09-17T16:31:31.000Z","2","-4"
"2015-09-17T17:54:01.000Z","8","-18"
"2015-09-17T18:39:01.000Z","96","17"
"2015-09-18T11:15:01.000Z","3","5"
"2015-09-18T11:16:31.000Z","3","-5"
"2015-09-18T12:19:31.000Z","8","-14"
"2015-09-18T12:54:01.000Z","2","4"
"2015-09-18T12:55:31.000Z","2","-4"
"2015-09-18T13:09:01.000Z","8","-21"
"2015-09-18T13:30:01.000Z","8","-13"
"2015-09-18T15:06:01.000Z","3","5"
"2015-09-18T15:07:31.000Z","2","-4"
"2015-09-18T15:09:01.000Z","3","-5"
"2015-09-18T15:13:31.000Z","3","-5"
"2015-09-18T15:27:01.000Z","2","4"
"2015-09-18T17:24:01.000Z","85","6"
"2015-09-20T04:45:01.000Z","7","11"
"2015-09-20T05:45:01.000Z","7","-14"
"2015-09-20T11:51:01.000Z","8","-16"
"2015-09-21T11:52:31.000Z","2","-4"
"2015-09-21T12:12:01.000Z","2","4"
"2015-09-21T13:33:01.000Z","44","14"
"2015-09-21T16:15:01.000Z","3","5"
"2015-09-22T09:22:31.000Z","31","49"
"2015-09-22T15:07:31.000Z","2","-5"
"2015-09-22T15:34:31.000Z","2","5"
"2015-09-22T16:13:31.000Z","2","-4"
